Data from HR4C45961_13-08-10-452.txt Node
286.918	-1.49
287.187	-1.62
287.456	-1.7
287.724	-1.6
287.993	-1.81
288.262	-1.78
288.53	-1.85
288.799	-1.6
289.067	-1.66
289.336	-1.73
289.604	-1.95
289.873	-2.01
290.142	-1.94
290.41	-1.84
290.679	-1.96
290.947	-1.79
291.216	-1.93
291.484	-1.92
291.753	-2.03
292.021	-1.97
292.29	-2.13
292.558	-2.24
292.827	-2.25
293.095	-2.33
293.364	-2.54
293.632	-2.59
293.901	-2.55
294.169	-2.38
294.438	-2.38
294.706	-2.37
294.974	-2.35
295.243	-2.19
295.511	-2.22
295.78	-2.28
296.048	-2.32
296.316	-2.34
296.585	-2.26
296.853	-2.44
297.121	-2.68
297.39	-2.9
297.658	-3.03
297.926	-3.05
298.195	-3.13
298.463	-2.97
298.731	-3.11
299	-3.16
299.268	-3.09
299.536	-3.05
299.804	-2.99
300.073	-3.09
300.341	-3.02
300.609	-2.84
300.877	-2.81
301.146	-2.79
301.414	-3.06
301.682	-3.06
301.95	-2.96
302.218	-2.9
302.487	-2.97
302.755	-3.03
303.023	-2.94
303.291	-2.81
303.559	-2.85
303.827	-3.01
304.096	-3.22
304.364	-3.14
304.632	-3.01
304.9	-2.92
305.168	-2.93
305.436	-2.94
305.704	-2.94
305.972	-2.76
306.24	-2.7
306.508	-2.74
306.776	-2.62
307.045	-2.47
307.313	-2.54
307.581	-2.6
307.849	-2.81
308.117	-2.93
308.385	-2.84
308.653	-2.62
308.921	-2.81
309.189	-2.91
309.457	-2.93
309.724	-2.93
309.992	-2.8
310.26	-2.76
310.528	-2.89
310.796	-2.96
311.064	-2.94
311.332	-2.88
311.6	-2.99
311.868	-2.99
312.136	-3
312.404	-2.92
312.672	-2.97
312.939	-2.95
313.207	-2.79
313.475	-2.58
313.743	-2.38
314.011	-2.22
314.279	-2.34
314.546	-2.32
314.814	-2.31
315.082	-2.28
315.35	-2.18
315.618	-2.14
315.885	-2.31
316.153	-2.33
316.421	-2.35
316.689	-2.47
316.956	-2.6
317.224	-2.49
317.492	-2.6
317.759	-2.49
318.027	-2.52
318.295	-2.9
318.563	-2.98
318.83	-2.96
319.098	-2.91
319.366	-2.93
319.633	-2.85
319.901	-2.84
320.169	-2.95
320.436	-2.99
320.704	-3.17
320.971	-3.11
321.239	-2.85
321.507	-2.56
321.774	-2.35
322.042	-2.46
322.309	-2.39
322.577	-2.34
322.844	-2.06
323.112	-1.86
323.38	-1.79
323.647	-1.7
323.915	-1.84
324.182	-1.92
324.45	-2.22
324.717	-2.32
324.985	-2.36
325.252	-2.54
325.52	-2.46
325.787	-2.6
326.054	-2.68
326.322	-2.69
326.589	-2.72
326.857	-2.7
327.124	-2.74
327.392	-2.5
327.659	-2.62
327.926	-2.63
328.194	-2.48
328.461	-2.46
328.729	-2.59
328.996	-2.61
329.263	-2.73
329.531	-2.59
329.798	-2.41
330.065	-2.38
330.333	-2.51
